City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Kahului,US,1569358502,20.89,-156.47,89.6,83,40,3.36
Codrington,AU,1569358503,-28.95,153.24,61,93,40,2.57
Ushuaia,AR,1569358503,-54.81,-68.31,51.8,70,20,32.21
Dikson,RU,1569358503,73.51,80.55,36.13,96,100,21.54
Touros,BR,1569358504,-5.2,-35.46,80.6,61,0,13.87
Thompson,CA,1569358504,55.74,-97.86,55.4,62,75,17.22
Rikitea,PF,1569358504,-23.12,-134.97,70.69,67,57,6.33
Nikolayevka,RU,1569358504,46.73,38.57,55.93,64,81,14.09
Evanston,US,1569358505,42.04,-87.69,81,50,1,14.99
Menongue,AO,1569358505,-14.66,17.68,65.47,16,0,5.17
Atuona,PF,1569358505,-9.8,-139.03,79.69,77,0,19.15
Butaritari,KI,1569358506,3.07,172.79,85.27,68,35,10.11
Hithadhoo,MV,1569358506,-0.6,73.08,79.87,81,100,21.21
Port Elizabeth,US,1569358506,39.31,-74.98,80.6,47,1,5.82
Villamontes,BO,1569358507,-21.26,-63.47,91.4,31,57,5.82
New Norfolk,AU,1569358507,-42.78,147.06,46.99,81,20,6.93
Gizo,IL,1569358507,31.8,34.94,77,65,0,3.36
Coahuayana,MX,1569358508,18.62,-100.35,86.53,66,31,1.74
Chumikan,RU,1569358508,54.72,135.31,30.37,72,0,10.42
Tiksi,RU,1569358508,71.64,128.87,32.89,85,100,8.84
Sola,TZ,1569358509,-3.17,33.8,75.19,58,74,3.2
Dakar,SN,1569358475,14.69,-17.45,84.2,88,15,3.36
Castro,CL,1569358509,-42.48,-73.76,60.8,77,0,8.05
Mataura,NZ,1569358509,-46.19,168.86,43,80,100,11.99
Hobart,AU,1569358510,-42.88,147.33,46.99,81,20,6.93
Albany,US,1569358424,42.65,-73.75,69.01,82,90,5.82
Bluff,AU,1569358510,-23.58,149.07,65.83,85,83,8.79
Sao Filipe,CV,1569358510,14.9,-24.5,81.31,81,100,2.68
Punta Arenas,CL,1569358511,-53.16,-70.91,53.6,50,40,25.28
Kochubey,RU,1569358511,44.39,46.54,60.79,85,88,7.11
Caravelas,BR,1569358511,-17.73,-39.27,71.05,72,22,12.5
Gunnedah,AU,1569358512,-30.98,150.25,44.01,64,40,4.7
Barrow,AR,1569358512,-38.31,-60.23,65.65,61,0,8.01
Tapiramuta,BR,1569358512,-11.85,-40.79,69.61,72,26,7.45
Batie,FR,1569358513,45.06,5.82,62.01,93,48,5.82
Margate,AU,1569358513,-43.03,147.26,46.99,81,20,6.93
Ancud,CL,1569358513,-41.87,-73.83,60.8,77,0,8.05
Lata,IN,1569358514,30.78,78.62,34.69,93,1,1.83
Ribeira Grande,PT,1569358514,38.52,-28.7,68,72,20,5.82
Port Alfred,ZA,1569358514,-33.59,26.89,60.01,64,58,4
Muncar,ID,1569358514,-8.43,114.34,69.61,97,29,3.06
Standerton,ZA,1569358515,-26.94,29.24,48.99,85,52,5.99
Tuktoyaktuk,CA,1569358515,69.44,-133.03,39.2,86,75,6.93
East London,ZA,1569358515,-33.02,27.91,53.59,74,96,2.3
Langsa,ID,1569358515,4.47,97.97,67.63,89,57,3.11
San-Pedro,CI,1569358516,4.75,-6.64,72.49,99,100,3.33
Hasaki,JP,1569358516,35.73,140.83,69.8,88,75,10.29
Busselton,AU,1569358516,-33.64,115.35,57,74,74,15.79
Avera,US,1569358517,33.19,-82.53,96.8,36,40,6.93
Makakilo City,US,1569358517,21.35,-158.09,86,58,40,10.29
Hermanus,ZA,1569358517,-34.42,19.24,62.01,80,0,14
Mount Gambier,AU,1569358517,-37.83,140.78,42.8,100,75,4.7
Mar del Plata,AR,1569358428,-46.43,-67.52,68.53,27,0,12.37
Faya,SA,1569358518,18.39,42.45,75.2,68,0,4.7
Padang,ID,1569358518,-0.92,100.36,78.79,86,100,15.46
Inhambane,MZ,1569358519,-23.87,35.38,66.73,77,89,7.94
Esperance,AU,1569358519,-33.86,121.89,57.2,44,99,14.99
Miraflores,PE,1569358520,-16.39,-71.52,69.8,16,0,9.17
Sinnamary,GF,1569358520,5.38,-52.96,82.21,79,71,12.01
Kapaa,US,1569358520,22.08,-159.32,84.2,70,40,11.41
Vaini,IN,1569358521,15.34,74.49,75.01,97,100,2.44
Eyl,SO,1569358521,7.98,49.82,74.65,74,100,16.04
Togur,RU,1569358521,58.36,82.83,40.81,88,99,8.28
Hirara,JP,1569358522,24.8,125.28,76.81,78,13,16.84
Norman Wells,CA,1569358522,65.28,-126.83,46.4,65,40,10.29
Kaitangata,NZ,1569358522,-46.28,169.85,39,78,100,5.99
Jamestown,AU,1569358396,-33.21,138.6,44.23,87,0,9.04
Hilo,US,1569358523,19.71,-155.08,84.2,62,90,10.29
Nabire,ID,1569358523,-3.36,135.5,70.51,98,100,3.09
Alofi,NU,1569358524,-19.06,-169.92,73.4,64,75,10.29
Saint-Philippe,CA,1569358524,45.36,-73.48,62.6,67,90,9.17
Troitskoye,RU,1569358524,52.98,84.68,47.47,72,30,3.47
Vardo,US,1569358525,39.62,-77.74,78.01,41,75,6.93
Coihaique,CL,1569358525,-45.58,-72.07,57.2,67,75,5.82
Vrede,ZA,1569358525,-27.43,29.16,46.57,75,94,11.95
Torbay,CA,1569358525,47.66,-52.73,48,87,90,16.11
Bredasdorp,ZA,1569358526,-34.53,20.04,59,67,58,16.11
Lebu,ET,1569358526,8.96,38.73,55.93,89,90,3.49
Zaltan,LY,1569358526,32.95,11.87,76.99,80,95,8.41
Kushiro,JP,1569358526,43.11,144.15,50.17,66,0,11.52
Buala,SB,1569358526,-8.15,159.59,77.53,84,100,4.38
Petropavlovsk-Kamchatskiy,RU,1569358406,53.05,158.65,50,100,90,15.66
Qaanaaq,GL,1569358527,77.48,-69.36,22.63,85,80,6.29
Truth or Consequences,US,1569358527,33.13,-107.25,73.99,45,63,5.99
Bethel,US,1569358436,60.79,-161.76,44.6,87,90,12.75
Luyang,CN,1569358528,31.88,117.26,68,68,0,1.77
Tocopilla,CL,1569358529,-22.09,-70.2,56.83,88,93,8.59
Kodiak,US,1569358529,39.95,-94.76,84,69,40,13.87
Kuryk,KZ,1569358529,43.18,51.68,63.13,50,100,6.24
Puerto Ayora,EC,1569358530,-0.74,-90.35,78.8,61,40,14.99
Guerrero Negro,MX,1569358530,27.97,-114.04,69.79,83,1,10.27
Surman,LY,1569358530,32.76,12.57,77.53,83,93,11.61
Laguna,BZ,1569358530,16.17,-88.94,91.4,59,20,6.93
Mandalgovi,MN,1569358531,45.76,106.27,55.93,29,16,6.76
Kruisfontein,ZA,1569358531,-34,24.73,48.37,84,1,6.6
Longonjo,AO,1569358531,-12.91,15.25,58.09,88,30,3.51
Saskylakh,RU,1569358531,71.97,114.09,35.95,94,100,7.34
Hambantota,LK,1569358532,6.12,81.12,80.41,81,100,12.35
Chara,GR,1569358532,39.42,22.43,66.2,93,75,2.73
Port Macquarie,AU,1569358533,-31.43,152.91,53.01,100,1,1.12
Beloha,MG,1569358533,-25.17,45.06,69.07,80,84,9.19
Georgetown,GY,1569358264,6.8,-58.16,89.6,70,75,11.41
Tomatlan,MX,1569358533,19.93,-105.25,83.65,82,99,10.71
Svetlogorsk,RU,1569358533,53.14,59.15,32,78,75,13.42
Pumiao,CN,1569358534,22.75,108.49,68,94,1,2.24
Upernavik,GL,1569358534,72.79,-56.15,33.25,94,100,5.39
Vao,EE,1569358535,59.1,26.19,41.89,78,97,4.92
Maragogi,BR,1569358330,-9.01,-35.22,71.23,86,10,4.83
Kenai,US,1569358535,60.55,-151.26,53.01,76,75,5.82
Bowen,AU,1569358536,-20.01,148.25,66.2,88,40,8.05
Aksu,KZ,1569358536,52.04,76.93,33.8,80,0,4.47
Phuket,TH,1569358536,7.89,98.4,77,88,20,1.12
Skibbereen,IE,1569358536,51.55,-9.27,57.2,100,75,13.87
Namibe,AO,1569358537,-15.19,12.15,69.07,91,100,5.59
Saint George,GR,1569358537,39.45,22.34,66.2,93,75,2.73
Vestmannaeyjar,IS,1569358537,63.44,-20.27,50.35,91,84,23.6
Salalah,OM,1569358416,17.01,54.1,80.6,83,75,6.93
Ostrovnoy,RU,1569358538,68.05,39.51,37.57,80,100,13.96
Bambanglipuro,ID,1569358538,-7.95,110.28,74.83,89,20,13.38
Tandil,AR,1569358538,-37.33,-59.14,80.01,30,0,1.99
Havre-Saint-Pierre,CA,1569358538,50.23,-63.6,50,71,20,9.17
Paratebueno,CO,1569358539,4.38,-73.21,82.4,69,75,5.82
Liepaja,LV,1569358539,56.52,21.02,44.6,70,44,5.82
Avarua,CK,1569358290,-21.21,-159.78,73.4,60,0,10.29
Yar-Sale,RU,1569358539,66.83,70.83,35.77,86,91,18.66
Dunedin,NZ,1569358540,-45.87,170.5,48.99,57,100,11.01
Kaka,TM,1569358540,37.35,59.62,63.49,29,0,4.54
Palmas,BR,1569358487,-10.18,-48.33,96.8,22,0,3.36
Nanortalik,GL,1569358541,60.14,-45.24,42.97,78,82,0.29
Katsuura,JP,1569358541,33.93,134.5,68,77,40,9.17
Rawson,AR,1569358541,-43.3,-65.11,69.43,35,30,6.8
Luderitz,NA,1569358542,-26.65,15.16,87.8,10,0,10.29
Najran,SA,1569358542,17.54,44.22,78.8,26,0,2.17
Posse,BR,1569358542,-14.08,-46.36,86.17,27,44,4.99
Victoria,BN,1569358407,5.28,115.24,84.2,62,75,11.41
Goderich,CA,1569358543,43.74,-81.71,70,57,0,8.99
Roald,NO,1569358543,62.58,6.12,53.6,87,75,5.82
Chimbote,PE,1569358543,-9.08,-78.59,61.51,93,93,12.08
Lincoln,GB,1569358543,53.23,-0.54,60.01,93,75,8.05
Vila Velha,BR,1569358544,-3.71,-38.6,82.4,65,0,13.87
Faanui,PF,1569358544,-16.48,-151.75,79.87,76,17,19.69
Boralday,KZ,1569358544,43.36,76.86,57.2,62,40,3.6
Yellowknife,CA,1569358545,62.45,-114.38,46.4,61,20,14.99
Cape Town,ZA,1569358545,-33.93,18.42,64,59,0,5.82
Palestina,CO,1569358545,1.72,-76.13,66.73,84,34,3.29
Lompoc,US,1569358546,34.64,-120.46,102.99,10,1,17.22
Cabo San Lucas,MX,1569358334,22.89,-109.91,91.99,66,5,14.99
Riyadh,SA,1569358546,24.63,46.72,89.6,24,0,4.7
Vila do Maio,CV,1569358546,15.13,-23.22,79.69,87,100,6.67
Slonim,BY,1569358546,53.09,25.32,39.55,70,0,8.16
Khatanga,RU,1569358547,71.98,102.47,34.33,78,35,11.72
Takoradi,GH,1569358335,4.89,-1.75,74.29,95,45,5.06
Fairbanks,US,1569358481,64.84,-147.72,42.01,57,40,1.54
Ulaanbaatar,MN,1569358457,47.92,106.92,39.2,64,0,1.03
Varhaug,NO,1569358547,58.61,5.65,57.2,67,90,3.36
Zhigansk,RU,1569358548,66.77,123.37,34.87,81,100,6.55
Nikolskoye,RU,1569358548,59.7,30.79,41,69,0,6.71
Felanitx,ES,1569358548,39.47,3.15,75.2,83,20,9.17
Vitim,RU,1569358549,59.44,112.57,40.63,85,73,3.36
Mahebourg,MU,1569358549,-20.41,57.7,73.4,88,20,11.41
Warrensburg,US,1569358549,38.76,-93.74,81,65,40,10.29
Abha,SA,1569358550,18.22,42.5,75.2,68,0,4.7
Valparaiso,US,1569358550,41.47,-87.06,80.6,53,75,13.87
Umuarama,BR,1569358550,-23.76,-53.31,80.05,54,77,1.34
Shiyan,CN,1569358551,32.65,110.78,59.53,71,100,4.29
Kedzierzyn-Kozle,PL,1569358551,50.35,18.23,52,93,20,2.24
Cervo,BR,1569358551,-22.19,-46.24,73.4,56,40,5.03
Clyde River,CA,1569358551,70.47,-68.59,37.4,74,1,3.36
Beian,NO,1569358552,63.66,9.57,53.01,81,0,9.17
Luba,PH,1569358552,17.32,120.7,72.13,85,0,4.34
Chico,US,1569358552,39.73,-121.84,93.2,14,5,19.46
Baykit,RU,1569358553,61.68,96.39,37.03,96,4,7.67
Northam,AU,1569358553,-31.65,116.67,50,93,75,4.7
Eureka,US,1569358553,40.8,-124.16,81,60,1,17.22
Lagoa,PT,1569358553,37.14,-8.45,75.2,73,0,13.87
Mitsamiouli,KM,1569358554,-11.38,43.28,78.79,76,6,17.69
Jardim,BR,1569358554,-21.48,-56.15,89.95,31,94,7.65
Lorengau,PG,1569358554,-2.02,147.27,79.87,82,79,7.85
Fonte Boa,BR,1569358555,-2.51,-66.09,89.41,57,100,1.59
Axim,GH,1569358555,4.87,-2.24,76.45,92,68,9.71
Nouadhibou,MR,1569358556,20.93,-17.03,69.8,83,0,20.8
Grand Gaube,MU,1569358556,-20.01,57.66,73.4,88,20,11.41
Narsaq,GL,1569358557,60.91,-46.05,51.8,40,93,4.7
Batagay-Alyta,RU,1569358557,67.8,130.41,18.13,92,100,1.86
Mazagao,BR,1569358557,-0.12,-51.29,91.4,55,40,13.87
Vila Franca do Campo,PT,1569358558,37.72,-25.43,71.01,77,20,2.24
Taltal,CL,1569358558,-25.41,-70.49,56.29,76,99,6.62
Constitucion,MX,1569358558,23.99,-104.67,75.99,43,40,5.82
Tres Arroyos,AR,1569358559,-38.38,-60.28,65.65,61,0,8.01
Juneau,US,1569358559,58.3,-134.42,51.8,93,90,9.17
Digby,CA,1569358559,44.62,-65.76,64,1,100,3
New Amsterdam,GY,1569358264,6.25,-57.52,82.75,73,100,5.95
Fareham,GB,1569358560,50.85,-1.18,61,87,75,10.29
Ponta do Sol,BR,1569358560,-20.63,-46,68.71,75,51,3.71
Flin Flon,CA,1569358560,54.77,-101.88,57.2,50,75,12.75
Bambous Virieux,MU,1569358561,-20.34,57.76,73.4,88,20,11.41
Natchitoches,US,1569358561,31.76,-93.09,93.99,52,90,4.7
Daru,PG,1569358561,-9.07,143.21,74.29,88,66,6.8
Liverpool,GB,1569358562,53.41,-2.98,60.01,93,75,5.82
San Patricio,PY,1569358562,-26.98,-56.83,76.81,61,23,7.83
Gravdal,NO,1569358562,59.79,5.78,57.2,67,75,6.93
Kimbe,PG,1569358563,-5.56,150.15,75.73,87,83,1.9
Bajil,ES,1569358563,38.23,-2.07,61.51,51,0,5.03
San Jeronimo,PE,1569358563,-13.65,-73.37,63.31,50,33,10.18
Husum,DE,1569358563,54.49,9.05,59,93,99,4.7
Perth,AU,1569358371,-31.95,115.86,54,100,75,6.93
West Wendover,US,1569358564,40.74,-114.07,73.4,28,1,12.75
Nome,US,1569358564,30.04,-94.42,90,46,40,10.29
Biscarrosse,FR,1569358564,44.41,-1.18,66.99,72,0,5.82
Husavik,CA,1569358564,50.56,-96.99,68,42,63,5.99
Pachino,IT,1569358565,36.72,15.09,68,56,0,3.36
Iquique,CL,1569358565,-20.22,-70.14,62.6,67,75,10.29
Akureyri,IS,1569358566,65.68,-18.09,55.4,71,40,13.87
Aleksandrov Gay,RU,1569358566,50.14,48.57,45.67,50,100,5.28
Qazvin,IR,1569358567,36.28,50.01,55.4,76,0,4.63
Port Said,EG,1569358567,25.34,30.55,76.81,30,0,8.32
Klaksvik,FO,1569358567,62.23,-6.59,51.8,100,100,24.16
Fortuna,US,1569358567,40.6,-124.16,86,60,1,17.22
Borogontsy,RU,1569358568,62.67,131.17,28.21,89,38,4.54
Surgut,RU,1569358568,61.25,73.4,39.2,89,0,11.18
De Aar,ZA,1569358568,-30.65,24.01,47.47,72,0,23.26
Dubki,RU,1569358569,43.02,46.84,59,82,85,6.71
Pevek,RU,1569358569,69.7,170.27,33.43,96,100,12.37
Balkanabat,TM,1569358569,39.51,54.36,73.57,29,0,2.17
Provideniya,RU,1569358569,64.42,-173.23,41,94,75,6.71
Aswan,EG,1569358570,24.09,32.9,87.8,20,0,9.17
Ilulissat,GL,1569358411,69.22,-51.1,37.4,86,75,3.36
Matagami,NG,1569358570,9.67,8.4,71.77,92,100,4.74
Pangnirtung,CA,1569358571,66.15,-65.72,39.2,93,90,11.41
Richards Bay,ZA,1569358571,-28.77,32.06,66.37,76,33,33.6
Morondava,MG,1569358571,-20.3,44.28,76.63,74,0,23.35
Mirnyy,RU,1569358572,56.57,36.46,32.17,92,20,3.98
Cherskiy,RU,1569358572,68.75,161.3,28.75,77,0,5.61
Ust-Kuyga,RU,1569358573,70,135.55,32.53,97,100,5.23
Isangel,VU,1569358573,-19.55,169.27,72.85,74,100,21.36
Chokurdakh,RU,1569358573,70.62,147.9,24.25,82,0,6.69
Suntar,RU,1569358573,62.16,117.65,36.85,91,84,1.5
Ponta Pora,BR,1569358574,-22.54,-55.73,80.6,44,0,8.05
Cairns,AU,1569358574,-16.92,145.77,73.4,73,90,8.05
Praia,BR,1569358574,-20.25,-43.81,80.6,41,75,8.05
Hofn,IS,1569358575,64.25,-15.21,39.73,99,100,4.88
Dawei,MM,1569358575,14.07,98.19,79.87,75,96,14.05
Swinford,IE,1569358575,53.94,-8.95,59,95,29,3.27
Kavieng,PG,1569358575,-2.57,150.8,83.83,70,100,8.41
Udachnyy,RU,1569358576,66.42,112.4,33.8,100,90,4.47
Cidreira,BR,1569358576,-30.17,-50.22,62.59,78,0,8.43
Anadyr,RU,1569358576,64.73,177.51,30.2,92,20,6.71
Maceio,BR,1569358577,-9.67,-35.74,78.8,61,0,11.41
Airai,TL,1569358577,-8.93,125.41,69.43,80,88,4.27
Auki,NG,1569358577,12.18,6.51,80.95,50,14,6.91
Tagbac,PH,1569358577,7.09,125.16,75.2,94,40,2.24
Meulaboh,ID,1569358578,4.14,96.13,80.05,81,100,6.67
Dwarka,IN,1569358578,28.58,77.04,84,88,40,4.7
Goiania,BR,1569358364,-16.68,-49.25,93.2,28,0,4.7
Mokhsogollokh,RU,1569358578,61.4,128.95,29.47,94,95,4.88
Ouegoa,NC,1569358579,-20.34,164.44,71.23,71,100,14.34
Tuatapere,NZ,1569358579,-46.13,167.69,43,80,67,11.99
Dalby,AU,1569358579,-27.18,151.26,57.99,73,85,5.61
Komsomolskiy,RU,1569358580,67.55,63.78,33.97,96,100,15.68
Havre,US,1569358580,48.55,-109.68,68,34,75,19.46
Mandali,IQ,1569358580,33.75,45.55,84.01,16,0,8.32
Necochea,AR,1569358581,-38.55,-58.74,68,38,0,1.01
Tambun,ID,1569358581,-6.26,107.07,79,78,20,3.36
Tecoanapa,MX,1569358582,16.99,-99.26,84.2,79,90,3.36
Aklavik,CA,1569358582,68.22,-135.01,44.6,70,40,2.24
Nicoya,CR,1569358399,10.15,-85.45,80.6,88,75,2.24
Nizhniy Kuranakh,RU,1569358582,58.84,125.49,30.91,84,100,2.73
Yulara,AU,1569358583,-25.24,130.99,46.4,93,50,5.82
